NEBALIACEA	Leptostraca
LEPTOMEDUSAE	Leptothecata
THECATA	Leptothecata
LEPTOMEDUSAE	Leptothecatae
LEUCOSOLENIIDA	Leucosolenida
SYCETTIDA	Leucosolenida
LICEIDA	Liceales
LICHININEAE	Lichinales
ORCHIDALES	Liliales
LIMNOPOLYPAE	Limnomedusae
DESMOPHORIDA	Lithistida
LITHOBIIDA	Lithobiomorpha
LABATA	Lobata
MYCIDACEA	Lophogastrida
MYSIDACEA	Lophogastrida
SPATHULOSPORALES	Lulworthiales
LUNULARIALES	Lunulariales
LYCHNISCOSA	Lychniscosida
LYSSACINOSA	Lyssacinosida
MACRODASYOIDEA	Macrodasyida
MAGNAPORTHALES	Magnaporthales
MAGNOLIANAE	Magnoliales
MAGNOLIINEAE	Magnoliales
MALACOVALVULIDA	Malacovalvulida
BALANOPALES	Malpighiales
EUPHORBIALES	Malpighiales
LINALES	Malpighiales
RHIZOPHORALES	Malpighiales
VIOLALES	Malpighiales
VIOLANAE	Malpighiales
MALVANAE	Malvales
CORSINIINEAE	Marchantiales
MARCHANTIALES	Marchantiales
MARCHANTIINEAE	Marchantiales
TARGIONIINEAE	Marchantiales
MARIPROFUNDALES	Mariprofundales
SIALODEA	Megaloptera
MELOSEIRALES	Melosirales
METHANOBACTERIALES	Methanobacteriales
METHANOCELLALES	Methanocellales
METHANOCOCCALES	Methanococcales
METHANOMICROBIALES	Methanomicrobiales
METHANOPYRALES	Methanopyrales
HALOMEBACTERIA	Methanosarcinales
METHANOSARCINALES	Methanosarcinales
METHYLACIDIPHILALES	Methylacidiphilales
METHYLOCOCCACEAE GROUP	Methylococcales
METHYLOCOCCALES	Methylococcales
METHYLOPHILALES	Methylophilales
METZGERIALES	Metzgeriales
HALOSPHAERIALES	Microascales
PYRENOMYCETES	Microascales
MICROTHORACIDA	Microthoracida
HYOCRINIDA	Millericrinida
HETEROCOCCALES	Mischococcales
GLYPTOCRINUS	Monobathrida
MUGILOIDEI	Mugiliformes
MUSOPHAGI	Musophagiformes
BORRELOMYCETALES	Mycoplasmatales
MOLLICUTALES	Mycoplasmatales
MYCOPLASMAS	Mycoplasmatales
MYCOPLASMATALES	Mycoplasmatales
PARAMYCETALES	Mycoplasmatales
PLEUROPNEUMONIALES	Mycoplasmatales
THE	Mycoplasmatales
DASYATOIDEA	Myliobatiformes
MYLIOBATOIDEA	Myliobatiformes
MYLIOBATOIDEI	Myliobatiformes
PLESIOBATOIDEA	Myliobatiformes
MYINA	Myoida
MYRANGIALES	Myriangiales
MYRTANAE	Myrtales
MYSIDACEA	Mysida
MYXINOIDEA	Myxiniformes
MYXOBACTERIA	Myxococcales
MYXOCOCCALES	Myxococcales
THE	Myxococcales
NATRANAEROBIALES	Natranaerobiales
NAUTILIALES	Nautiliales
NAUTILOIDA	Nautilida
NECTONEMATOIDA	Nectonematida
NECTONEMATOIDEA	Nectonematida
NECTONEMATOIDA	Nectonematoidea
NEISSERIALES	Neisseriales
NEOCALLIMASTICALES	Neocallimastigales
NEOACANTHOCEPHALA	Neoechinorhynchida
STENOGLOSSA	Neogastropoda
NEOHODGSONIALES	Neohodgsoniales
ISCHNOCHITONIDA	Neoloricata
CERITHIOIDEA	Neotaenioglossa
PLANIPENNIA	Neuroptera
NITRILIRUPTORALES	Nitriliruptorales
AMMONIA OXIDIZING BACTERIA	Nitrosomonadales
AMMONIA OXIDIZING BACTERIA	Nitrosomonadales
NITROSOMONADALES	Nitrosomonadales
NITROSOPUMILALES	Nitrosopumilales
NITROSPIRALES	Nitrospirales
OSCILLATORIALES	Nostocales
MYOMATA	Notomyotida
NOTOMYOTINA	Notomyotida
NOTOTHYLADALES	Notothyladales
NUCULOIDEA	Nuculoida
PHANEROBRANCHIA	Nudibranchia
OCEANOSPIRILLALES	Oceanospirillales
OCEANOSPIRILLUM GROUP	Oceanospirillales
OEDIPODIALES	Oedipodiales
ARACHNOMYCETALES	Onygenales
ASCOSPHAERALES	Onygenales
GYMNOASCALES	Onygenales
NOTOSTIGMATA	Opilioacarida
OPILIOACARIFORMES	Opilioacarida
OPILIONIDA	Opiliones
CRYPTOSTIGMATA	Oribatida
ORIBATEI	Oribatida
ORTHODONTIALES	Orthodontiales
SALTATORIA	Orthoptera
ARGENTINIFORMES	Osmeriformes
CEPHALASPIDIFORMES	Osteostraci
CEPHALASPIDOFORMES	Osteostraci
GYALECTALES	Ostropales
TRICHOTHELIALES	Ostropales
PALAEONISCOIDEA	Palaeonisciformes
PALLAVICINIALES	Pallaviciniales
